abk,ab,Abkhazian,
jrb,,JudeoArabic,
jpr,,JudeoPersian,
kbd,,Kabardian,
kab,,Kabyle,
kac,,Kachin,
kal,kl,Kalaallisut,
xal,,Kalmyk,
kam,,Kamba,
kan,kn,Kannada,
kau,kr,Kanuri,
krc,,KarachayBalkar,
kaa,,KaraKalpak,
krl,,Karelian,
kar,,Karen,
kas,ks,Kashmiri,
csb,,Kashubian,
kaw,,Kawi,
kaz,kk,Kazakh,
kha,,Khasi,
khm,km,Khmer,
khi,,Khoisan,
kho,,Khotanese,
kik,ki,Kikuyu,
kmb,,Kimbundu,
kin,rw,Kinyarwanda,
kir,ky,Kirghiz,
tlh,,Klingon,
kom,kv,Komi,
kon,kg,Kongo,
kok,,Konkani,
kor,ko,Korean,
kos,,Kosraean,
kpe,,Kpelle,
kro,,Kru,
kua,kj,Kuanyama,
kum,,Kumyk,
kur,ku,Kurdish,
kru,,Kurukh,
kut,,Kutenai,
lad,,Ladino,
lah,,Lahnda,
lam,,Lamba,
day,,LandDayak,
lao,lo,Lao,
lat,la,Latin,
lav,lv,Latvian,
lez,,Lezghian,
lim,li,Limburgan,
lin,ln,Lingala,
lit,lt,Lithuanian,
jbo,,Lojban,
dsb,,LowerSorbian,
nds,,"LowGerman""",
loz,,Lozi,
lub,lu,LubaKatanga,
lua,,LubaLulua,
lui,,Luiseno,
smj,,LuleSami,
lun,,Lunda,
luo,,LuoKenyaandTanzania,
lus,,Lushai,
ltz,lb,Luxembourgish,
mkd,mk,Macedonian,
mkd,mk,Macedonian,
mad,,Madurese,
mag,,Magahi,
mai,,Maithili,
mak,,Makasar,
mlg,mg,Malagasy,
msa,ms,Malay,
msa,ms,Malay,
mal,ml,Malayalam,
mlt,mt,Maltese,
mnc,,Manchu,
mdr,,Mandar,
man,,Mandingo,
mni,,Manipuri,
mno,,Manobo,
glv,gv,Manx,
mri,mi,Maori,
mri,mi,Maori,
arn,,Mapudungun,
mar,mr,Marathi,
chm,,Mari,
mah,mh,Marshallese,
mwr,,Marwari,
mas,,Masai,
myn,,Mayan,
men,,Mende,
mic,,Mikmaq,
min,,Minangkabau,
mwl,,Mirandese,
moh,,Mohawk,
mdf,,Moksha,
lol,,Mongo,
mon,mn,Mongolian,
mkh,,MonKhmer,
cnr,,Montenegrin,
mos,,Mossi,
mul,,Multiple,
mun,,Munda,
nah,,Nahuatl,
nau,na,Nauru,
nav,nv,Navajo,
ndo,ng,Ndonga,
nap,,Neapolitan,
new,,NepalBhasa,
nep,ne,Nepali,
nia,,Nias,
nic,,NigerKordofanian,
ssa,,NiloSaharan,
niu,,Niuean,
nqo,,NKo,
nog,,Nogai,
zxx,,Nolinguisticcontent,
non,,"NorseOld""",
nai,,NorthAmericanIndian,
frr,,NorthernFrisian,
sme,se,NorthernSami,
nde,nd,"NorthNdebele""",
nor,no,Norwegian,
nno,nn,NorwegianNynorsk,"
nob,nb,Bokml"
nub,,Nubian,
nym,,Nyamwezi,
nyn,,Nyankole,
nyo,,Nyoro,
nzi,,Nzima,
oci,oc,Occitanpost,
oji,oj,Ojibwa,
ori,or,Oriya,
orm,om,Oromo,
osa,,Osage,
oss,os,Ossetian,
oto,,Otomian,
pal,,Pahlavi,
pau,,Palauan,
pli,pi,Pali,
pam,,Pampanga,
pag,,Pangasinan,
pan,pa,Panjabi,
pap,,Papiamento,
paa,,Papuan,
nso,,Pedi,
fas,fa,Persian,
fas,fa,Persian,
peo,,"PersianOld""",
phi,,Philippine,
phn,,Phoenician,
pon,,Pohnpeian,
pol,pl,Polish,
por,pt,Portuguese,
pra,,Prakrit,
pro,,"ProvenalOld""",
pus,ps,Pushto,
que,qu,Quechua,
raj,,Rajasthani,
rap,,Rapanui,
rar,,Rarotongan,
roa,,Romance,
ron,ro,Romanian,
ron,ro,Romanian,
roh,rm,Romansh,
rom,,Romany,
run,rn,Rundi,
rus,ru,Russian,
sal,,Salishan,
sam,,SamaritanAramaic,
smi,,Sami,
smo,sm,Samoan,
sad,,Sandawe,
sag,sg,Sango,
san,sa,Sanskrit,
sat,,Santali,
srd,sc,Sardinian,
sas,,Sasak,
sco,,Scots,
sel,,Selkup,
sem,,Semitic,
srp,sr,Serbian,
srr,,Serer,
shn,,Shan,
sna,sn,Shona,
iii,ii,SichuanYi,
scn,,Sicilian,
sid,,Sidamo,
sgn,,SignLanguages,
bla,,Siksika,
snd,sd,Sindhi,
sin,si,Sinhala,
sit,,SinoTibetan,
sio,,Siouan,
sms,,SkoltSami,
den,,SlaveAthapascan,
sla,,Slavic,
slk,sk,Slovak,
slk,sk,Slovak,
slv,sl,Slovenian,
sog,,Sogdian,
som,so,Somali,
son,,Songhai,
snk,,Soninke,
wen,,Sorbian,
sot,st,"Sotho""",
sai,,SouthAmericanIndian,
alt,,SouthernAltai,
sma,,SouthernSami,
nbl,nr,"SouthNdebele""",
spa,es,Spanish,
srn,,SrananTongo,
zgh,,StandardMoroccanTamazight,
suk,,Sukuma,
sux,,Sumerian,
sun,su,Sundanese,
sus,,Susu,
swa,sw,Swahili,
ssw,ss,Swati,
swe,sv,Swedish,
gsw,,SwissGerman,
syr,,Syriac,
tgl,tl,Tagalog,
tah,ty,Tahitian,
tai,,Tai,
tgk,tg,Tajik,
tmh,,Tamashek,
tam,ta,Tamil,
tat,tt,Tatar,
tel,te,Telugu,
ter,,Tereno,
tet,,Tetum,
tha,th,Thai,
bod,bo,Tibetan,
bod,bo,Tibetan,
tig,,Tigre,
tir,ti,Tigrinya,
tem,,Timne,
tiv,,Tiv,
tli,,Tlingit,
tkl,,Tokelau,
tpi,,TokPisin,
tog,,TongaNyasa,
ton,to,TongaTongaIslands,
tsi,,Tsimshian,
tso,ts,Tsonga,
tsn,tn,Tswana,
tum,,Tumbuka,
tup,,Tupi,
tur,tr,Turkish,
ota,,"TurkishOttoman""",
tuk,tk,Turkmen,
tvl,,Tuvalu,
tyv,,Tuvinian,
twi,tw,Twi,
udm,,Udmurt,
uga,,Ugaritic,
uig,ug,Uighur,
ukr,uk,Ukrainian,
umb,,Umbundu,
mis,,Uncoded,
und,,Undetermined,
hsb,,UpperSorbian,
urd,ur,Urdu,
uzb,uz,Uzbek,
vai,,Vai,
ven,ve,Venda,
vie,vi,Vietnamese,
vol,vo,Volapk,
vot,,Votic,
wak,,Wakashan,
wln,wa,Walloon,
war,,Waray,
was,,Washo,
cym,cy,Welsh,
cym,cy,Welsh,
wal,,Wolaitta,
wol,wo,Wolof,
xho,xh,Xhosa,
sah,,Yakut,
yao,,Yao,
yap,,Yapese,
yid,yi,Yiddish,
yor,yo,Yoruba,
ypk,,Yupik,
znd,,Zande,
zap,,Zapotec,
zza,,Zaza,
zen,,Zenaga,
zha,za,Zhuang,
zul,zu,Zulu,
zun,,Zuni,
